Tiempo,Temperatura,Temp ajustada,Cmd 
1117,34.94,"34,94",50.00
1118,34.94,"34,94",50.00
1119,34.94,"34,94",50.00
1120,34.94,"34,94",50.00
1121,34.94,"34,94",50.00
1122,34.94,"34,94",50.00
1123,34.94,"34,94",50.00
1124,34.94,"34,94",50.00
1125,34.94,"34,94",50.00
1126,35.00,"35,00",50.00
1127,35.00,"35,00",50.00
1128,35.00,"35,00",50.00
1129,34.94,"34,94",50.00
1130,34.94,"34,94",50.00
1131,34.94,"34,94",50.00
1132,35.00,"35,00",50.00
1133,35.00,"35,00",50.00
1134,35.00,"35,00",50.00
1135,34.94,"34,94",50.00
1136,34.94,"34,94",50.00
1137,34.94,"34,94",50.00
1138,35.00,"35,00",50.00
1139,34.94,"34,94",50.00
1140,34.94,"34,94",50.00
1141,34.94,"34,94",50.00
1142,34.94,"34,94",50.00
1143,34.94,"34,94",50.00
1144,35.00,"35,00",50.00
1145,35.00,"35,00",50.00
1146,35.00,"35,00",50.00
1147,35.00,"35,00",50.00
1148,35.00,"35,00",50.00
1149,35.00,"35,00",50.00
1150,35.00,"35,00",50.00
1151,35.00,"35,00",50.00
1152,34.94,"34,94",50.00
1153,34.94,"34,94",50.00
1154,35.00,"35,00",50.00
1155,35.00,"35,00",50.00
1156,34.94,"34,94",50.00
1157,34.94,"34,94",50.00
1158,35.00,"35,00",50.00
1159,34.94,"34,94",50.00
1160,35.00,"35,00",50.00
1161,34.94,"34,94",50.00
1162,34.94,"34,94",50.00
1163,35.00,"35,00",50.00
1164,35.00,"35,00",50.00
1165,34.94,"34,94",50.00
1166,35.00,"35,00",50.00
1167,35.00,"35,00",50.00
1168,34.94,"34,94",50.00
1169,35.00,"35,00",50.00
1170,35.00,"35,00",50.00
1171,35.00,"35,00",50.00
1172,35.00,"35,00",50.00
1173,34.94,"34,94",50.00
1174,34.94,"34,94",50.00
1175,34.94,"34,94",50.00
1176,34.94,"34,94",50.00
1177,34.94,"34,94",50.00
1178,34.94,"34,94",50.00
1179,35.00,"35,00",50.00
1180,35.00,"35,00",50.00
1181,35.00,"35,00",50.00
1182,35.00,"35,00",50.00
1183,35.00,"35,00",50.00
1184,34.94,"34,94",50.00
1185,34.94,"34,94",50.00
1186,34.94,"34,94",50.00
1187,34.94,"34,94",50.00
1188,35.00,"35,00",50.00
1189,34.94,"34,94",50.00
1190,34.94,"34,94",50.00
1191,35.00,"35,00",50.00
1192,34.94,"34,94",50.00
1193,35.00,"35,00",50.00
1194,35.00,"35,00",50.00
1195,35.00,"35,00",50.00
1196,35.00,"35,00",50.00
1197,35.00,"35,00",50.00
1198,35.00,"35,00",50.00
1199,35.00,"35,00",50.00
1200,35.00,"35,00",50.00
1201,35.00,"35,00",50.00
1202,35.00,"35,00",50.00
1203,35.00,"35,00",50.00
1204,35.00,"35,00",50.00
1205,35.00,"35,00",50.00
1206,35.00,"35,00",50.00
1207,35.00,"35,00",55.00
1208,34.94,"34,94",55.00
1209,35.00,"35,00",55.00
1210,35.00,"35,00",55.00
1211,35.06,"35,06",55.00
1212,35.06,"35,06",55.00
1213,35.06,"35,06",55.00
1214,35.13,"35,13",55.00
1215,35.13,"35,13",55.00
1216,35.13,"35,13",55.00
1217,35.19,"35,19",55.00
1218,35.25,"35,25",55.00
1219,35.25,"35,25",55.00
1220,35.25,"35,25",55.00
1221,35.25,"35,25",55.00
1222,35.31,"35,31",55.00
1223,35.31,"35,31",55.00
1224,35.38,"35,38",55.00
1225,35.38,"35,38",55.00
1226,35.38,"35,38",55.00
1227,35.44,"35,44",55.00
1228,35.44,"35,44",55.00
1229,35.44,"35,44",55.00
1230,35.44,"35,44",55.00
1231,35.50,"35,50",55.00
1232,35.50,"35,50",55.00
1233,35.50,"35,50",55.00
1234,35.50,"35,50",55.00
1235,35.56,"35,56",55.00
1236,35.56,"35,56",55.00
1237,35.56,"35,56",55.00
1238,35.63,"35,63",55.00
1239,35.63,"35,63",55.00
1240,35.63,"35,63",55.00
1241,35.69,"35,69",55.00
1242,35.69,"35,69",55.00
1243,35.69,"35,69",55.00
1244,35.69,"35,69",55.00
1245,35.69,"35,69",55.00
1246,35.69,"35,69",55.00
1247,35.69,"35,69",55.00
1248,35.75,"35,75",55.00
1249,35.75,"35,75",55.00
1250,35.81,"35,81",55.00
1251,35.81,"35,81",55.00
1252,35.81,"35,81",55.00
1253,35.81,"35,81",55.00
1254,35.81,"35,81",55.00
1255,35.81,"35,81",55.00
1256,35.81,"35,81",55.00
1257,35.81,"35,81",55.00
1258,35.88,"35,88",55.00
1259,35.81,"35,81",55.00
1260,35.88,"35,88",55.00
1261,35.81,"35,81",55.00
1262,35.88,"35,88",55.00
1263,35.94,"35,94",55.00
1264,35.88,"35,88",55.00
1265,35.94,"35,94",55.00
1266,35.94,"35,94",55.00
1267,35.94,"35,94",55.00
1268,35.94,"35,94",55.00
1269,35.94,"35,94",55.00
1270,35.94,"35,94",55.00
1271,35.94,"35,94",55.00
1272,35.94,"35,94",55.00
1273,35.94,"35,94",55.00
1274,35.94,"35,94",55.00
1275,36.00,"36,00",55.00
1276,36.00,"36,00",55.00
1277,36.00,"36,00",55.00
1278,36.00,"36,00",55.00
1279,36.00,"36,00",55.00
1280,36.00,"36,00",55.00
1281,36.00,"36,00",55.00
1282,36.00,"36,00",55.00
1283,36.00,"36,00",55.00
1284,36.00,"36,00",55.00
1285,36.00,"36,00",55.00
1286,36.06,"36,06",55.00
1287,36.06,"36,06",55.00
1288,36.00,"36,00",55.00
1289,36.06,"36,06",55.00
1290,36.06,"36,06",55.00
1291,36.06,"36,06",55.00
1292,36.06,"36,06",55.00
1293,36.13,"36,13",55.00
1294,36.06,"36,06",55.00
1295,36.06,"36,06",55.00
